Site,Date,From,To,Long,Lat,Long2,Lat2,Region,remove,
Polychrono,EH,3200,2075,23.53,40.02,,,Chalkidiki,0,
Marathon-1,MH,2075,1687,23.96,38.16,23.948401,38.121235,Attica,0,
Lerna-1A,MH,2075,1687,22.71,37.53,22.71868,37.551885,Argolis,0,
Lerna-1B,MH,2075,1687,22.71,37.53,22.71868,37.551885,Argolis,0,
Lerna-1C,MH,2075,1687,22.71,37.53,22.71868,37.551885,Argolis,0,
Lerna-1D,MH,2075,1687,22.71,37.53,22.71868,37.551885,Argolis,0,
Mycenae-1,MH,2075,1687,22.76,37.73,22.757532,37.726679,Argolis,0,
Sparta-3A,MH,2075,1687,22.45,37.06,,,Arcadia,0,
Sparta-3B,MH,2075,1687,22.45,37.06,,,Arcadia,0,
Eretria-3,MH,2075,1687,23.8,38.39,23.791951,38.39055,Euboea,0,
Kirra-1A,MH,2075,1687,22.44,38.43,,,Phocis,0,
Kirra-1B,MH,2075,1687,22.44,38.43,,,Phocis,0,
Kirra-1C,MH,2075,1687,22.44,38.43,,,Phocis,0,
Zarkos,MH,2075,1687,22.12,39.61,,,Trikala,0,
Aigeira-1,LH,1687,1062,22.36,38.15,22.380297,38.141104,Achaia,0,
Asine A,LH III,1415,1062,22.99,37.52,22.871019,37.526226,Argolis,0,
Asine B,LH III,1415,1062,22.99,37.52,22.871019,37.526226,Argolis,0,
Berbati-2,LH,1687,1062,22.8,37.15,22.800315,37.683509,Argolis,0,
Tiryns A,LH III,1415,1062,22.8,37.6,22.796158,37.600732,Argolis,0,
Tiryns B,LH III,1415,1062,22.8,37.6,22.796158,37.600732,Argolis,0,
Pylos,LH IIIB,1323,1195,21.69,37.03,21.697944,37.031319,Messenia,0,
Thebes-1,LH III,1415,1062,23.32,38.32,23.320536,38.325322,Boeotia,0,
Dimini,LH III,1415,1062,22.89,39.36,,,Magnesia,0,
Pherae-4,LH IIIC,1196,1062,22.73,39.34,,,Magnesia,0,
Naxos A,LH,1687,1062,25.38,37.11,,,Cyclades,0,
Naxos B,LH,1687,1062,25.38,37.11,,,Cyclades,0,
Cos A,MM,2075,1687,27.29,36.89,,,Cos,0,
Cos B,LM IA,1687,1615,27.29,36.89,,,Cos,0,
Phaistos-2,MM IIB,1750,1700,24.81,35.05,24.814242,35.053913,Crete-Herakleiou,0,
Zakros-1,MM IIIA,1700,1650,26.22,35.11,26.259924,35.100833,Crete-Lasithiou,0,
Vathypetro,MM IIIA-LM IA,1700,1062,25.16,35.21,,,Crete-Lasithiou,0,
Zou,MM IIIB,1650,1600,26.11,35.16,,,Crete-Lasithiou,0,
Stylos,LM IIIB,1350,1100,24.12,35.43,,,Crete-Chania,0,
Kato Gouves A,LMIIB,1470,1415,25.31,35.33,,,Crete-Herakleiou,0,
Kato Gouves B,LMIIB,1470,1415,25.31,35.33,,,Crete-Herakleiou,0,
